month,категория_жалобы,количество_отзывов,доля_месячных_жалоб_%
2024-12,Читы и нечестная игра,2359,31.1
2024-12,"Прогрессия, гринд, вайпы и лут",905,11.9
2024-12,"Контент, эндгейм и однообразие",1761,23.2
2024-12,"Интерфейс, UX и лаунчер",1273,16.8
2024-12,"Стрельба, движение и TTK",1551,20.5
2025-01,Читы и нечестная игра,1329,36.7
2025-01,"Прогрессия, гринд, вайпы и лут",511,14.1
2025-01,"Контент, эндгейм и однообразие",919,25.4
2025-01,"Интерфейс, UX и лаунчер",614,16.9
2025-01,"Стрельба, движение и TTK",703,19.4
2025-02,Читы и нечестная игра,791,32.0
2025-02,"Прогрессия, гринд, вайпы и лут",299,12.1
2025-02,"Контент, эндгейм и однообразие",491,19.9
2025-02,"Интерфейс, UX и лаунчер",382,15.5
2025-02,"Стрельба, движение и TTK",415,16.8
2025-03,Читы и нечестная игра,631,34.0
2025-03,"Прогрессия, гринд, вайпы и лут",247,13.3
2025-03,"Контент, эндгейм и однообразие",343,18.5
2025-03,"Интерфейс, UX и лаунчер",267,14.4
2025-03,"Стрельба, движение и TTK",254,13.7
2025-04,Читы и нечестная игра,510,38.8
2025-04,"Прогрессия, гринд, вайпы и лут",146,11.1
2025-04,"Контент, эндгейм и однообразие",277,21.1
2025-04,"Интерфейс, UX и лаунчер",188,14.3
2025-04,"Стрельба, движение и TTK",182,13.9
2025-05,Читы и нечестная игра,540,40.7
2025-05,"Прогрессия, гринд, вайпы и лут",208,15.7
2025-05,"Контент, эндгейм и однообразие",278,20.9
2025-05,"Интерфейс, UX и лаунчер",199,15.0
2025-05,"Стрельба, движение и TTK",201,15.1
2025-06,Читы и нечестная игра,342,39.3
2025-06,"Прогрессия, гринд, вайпы и лут",124,14.2
2025-06,"Контент, эндгейм и однообразие",177,20.3
2025-06,"Интерфейс, UX и лаунчер",113,13.0
2025-06,"Стрельба, движение и TTK",131,15.0
2025-07,Читы и нечестная игра,416,41.9
2025-07,"Прогрессия, гринд, вайпы и лут",150,15.1
2025-07,"Контент, эндгейм и однообразие",237,23.8
2025-07,"Интерфейс, UX и лаунчер",140,14.1
2025-07,"Стрельба, движение и TTK",176,17.7
2025-08,Читы и нечестная игра,457,34.8
2025-08,"Прогрессия, гринд, вайпы и лут",146,11.1
2025-08,"Контент, эндгейм и однообразие",216,16.4
2025-08,"Интерфейс, UX и лаунчер",197,15.0
2025-08,"Стрельба, движение и TTK",167,12.7
2025-09,Читы и нечестная игра,816,29.4
2025-09,"Прогрессия, гринд, вайпы и лут",572,20.6
2025-09,"Контент, эндгейм и однообразие",621,22.4
2025-09,"Интерфейс, UX и лаунчер",510,18.4
2025-09,"Стрельба, движение и TTK",496,17.9
2025-10,Читы и нечестная игра,1304,30.0
2025-10,"Прогрессия, гринд, вайпы и лут",1142,26.3
2025-10,"Контент, эндгейм и однообразие",1005,23.1
2025-10,"Интерфейс, UX и лаунчер",769,17.7
2025-10,"Стрельба, движение и TTK",823,19.0
2025-11,Читы и нечестная игра,4104,16.9
2025-11,"Прогрессия, гринд, вайпы и лут",7282,29.9
2025-11,"Контент, эндгейм и однообразие",5301,21.8
2025-11,"Интерфейс, UX и лаунчер",4976,20.4
2025-11,"Стрельба, движение и TTK",4461,18.3
2025-12,Читы и нечестная игра,2026,19.1
2025-12,"Прогрессия, гринд, вайпы и лут",3502,33.0
2025-12,"Контент, эндгейм и однообразие",2533,23.8
2025-12,"Интерфейс, UX и лаунчер",2052,19.3
2025-12,"Стрельба, движение и TTK",2119,20.0
2026-01,Читы и нечестная игра,2118,22.1
2026-01,"Прогрессия, гринд, вайпы и лут",2755,28.7
2026-01,"Контент, эндгейм и однообразие",2139,22.3
2026-01,"Интерфейс, UX и лаунчер",1702,17.7
2026-01,"Стрельба, движение и TTK",1762,18.4
2026-02,Читы и нечестная игра,1644,25.0
2026-02,"Прогрессия, гринд, вайпы и лут",1817,27.7
2026-02,"Контент, эндгейм и однообразие",1462,22.2
2026-02,"Интерфейс, UX и лаунчер",1184,18.0
2026-02,"Стрельба, движение и TTK",1127,17.2
2026-03,Читы и нечестная игра,1289,23.1
2026-03,"Прогрессия, гринд, вайпы и лут",1478,26.4
2026-03,"Контент, эндгейм и однообразие",1268,22.7
2026-03,"Интерфейс, UX и лаунчер",993,17.8
2026-03,"Стрельба, движение и TTK",898,16.1
2026-04,Читы и нечестная игра,1218,22.2
2026-04,"Прогрессия, гринд, вайпы и лут",1390,25.3
2026-04,"Контент, эндгейм и однообразие",1359,24.7
2026-04,"Интерфейс, UX и лаунчер",936,17.0
2026-04,"Стрельба, движение и TTK",827,15.1
2026-05,Читы и нечестная игра,1521,27.4
2026-05,"Прогрессия, гринд, вайпы и лут",1374,24.8
2026-05,"Контент, эндгейм и однообразие",1414,25.5
2026-05,"Интерфейс, UX и лаунчер",957,17.3
2026-05,"Стрельба, движение и TTK",786,14.2
2026-06,Читы и нечестная игра,1600,34.1
2026-06,"Прогрессия, гринд, вайпы и лут",985,21.0
2026-06,"Контент, эндгейм и однообразие",964,20.6
2026-06,"Интерфейс, UX и лаунчер",736,15.7
2026-06,"Стрельба, движение и TTK",625,13.3
2026-07,Читы и нечестная игра,484,25.2
2026-07,"Прогрессия, гринд, вайпы и лут",342,17.8
2026-07,"Контент, эндгейм и однообразие",374,19.5
2026-07,"Интерфейс, UX и лаунчер",246,12.8
2026-07,"Стрельба, движение и TTK",190,9.9
